Name,ClassId,DisplayName,Slot,CastTimeSec,bOnGCD,bUsableWhileCC,CooldownSec,School,ResourceType,Cost,ComboGen,bFinisher,DamageBase,DamageAPCoef,DamageSPCoef,HealBase,HealSPCoef,AbsorbPctMaxHealth,CCCategory,CCDurationSec,bCCBreaksOnDamage,MoveSpeedMultPct,DebuffDurationSec,HealingTakenMultPct,DamageTakenMultPct,DamageDoneMultPct,RangeM,bRequiresFacing,bRequiresLoS,bAlliedTarget,bSelfOnly,bFromStealthOnly,bAoE,PeriodSec,MiscValue,MiscValue2,GrantedTags,Description
W_Charge,Warrior,Charge,1,0,False,False,20,Physical,Rage,-20,0,False,0,0,0,0,0,0,Root,1,False,100,0,100,100,100,25,True,True,False,False,False,False,0,8,0,,"Fonce sur la cible (8-25 m), la racine 1 s et génère 20 points de rage. Implémentée au jalon M7."
W_MortalStrike,Warrior,Frappe brutale,2,0,True,False,6,Physical,Rage,30,0,False,1800,1.2,0,0,0,0,None,0,False,100,10,75,100,100,3.5,True,True,False,False,False,False,0,0,0,,"Frappe lourde qui réduit les soins reçus par la cible de 25 % pendant 10 s."
W_Slam,Warrior,Heurtoir,3,0,True,False,0,Physical,Rage,20,0,False,1100,0.8,0,0,0,0,None,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,0,0,,"Attaque de base : dépense la rage pour infliger des dégâts."
W_Hamstring,Warrior,Entaille aux jambes,4,0,True,False,0,Physical,Rage,10,0,False,200,0.1,0,0,0,0,None,0,False,50,8,100,100,100,3.5,True,True,False,False,False,False,0,0,0,,"Ralentit la cible de 50 % pendant 8 s."
W_Pummel,Warrior,Fracasse-crâne,5,0,False,False,15,Physical,Rage,0,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,4,0,,"Interrompt l'incantation en cours et verrouille l'école du sort 4 s. Hors GCD."
W_StunningBlow,Warrior,Coup assommant,6,0,True,False,30,Physical,Rage,15,0,False,400,0.2,0,0,0,0,Stun,3,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,0,0,,"Étourdit la cible 3 s (DR étourdissement)."
W_BattleShout,Warrior,Cri de guerre,7,0,True,False,45,Physical,Rage,0,0,False,0,0,0,0,0,0,None,0,False,100,8,100,100,120,0,False,False,False,True,False,False,0,0,0,,"Augmente les dégâts infligés de 20 % pendant 8 s."
M_Frostbolt,Mage,Trait de givre,1,1.5,True,False,0,Frost,Mana,400,0,False,1400,0,0.55,0,0,0,None,0,False,60,6,100,100,100,30,False,True,False,False,False,False,0,0,0,,"Incantation 1,5 s : dégâts de givre et ralentissement de 40 % pendant 6 s."
M_IceLance,Mage,Lance de glace,2,0,True,False,0,Frost,Mana,300,0,False,700,0,0.3,0,0,0,None,0,False,100,0,100,100,100,30,False,True,False,False,False,False,0,2,0,,"Instantané. Dégâts doublés contre une cible racinée (MiscValue = multiplicateur)."
M_FrostNova,Mage,Nova de givre,3,0,True,False,25,Frost,Mana,350,0,False,300,0,0.1,0,0,0,Root,6,True,100,0,100,100,100,8,False,True,False,False,False,True,0,0,800,,"Racine tous les ennemis dans un rayon de 8 m pendant 6 s (DR racine). Casse au-delà de 800 dégâts subis."
M_Polymorph,Mage,Mouton,4,1.7,True,False,0,Arcane,Mana,500,0,False,0,0,0,0,0,0,Incapacitate,6,True,100,0,100,100,100,30,False,True,False,False,False,False,0,0,0,,"Incantation 1,7 s : transforme la cible 6 s (DR incapacité). Casse au moindre dégât."
M_Counterspell,Mage,Contresort,5,0,False,False,24,Arcane,Mana,100,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,30,False,True,False,False,False,False,0,4,0,,"Interrompt l'incantation en cours et verrouille l'école 4 s. Hors GCD."
M_Blink,Mage,Transfert,6,0,True,False,15,Arcane,Mana,200,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,0,False,False,False,True,False,False,0,15,0,,"Téléporte 15 m vers l'avant et dissipe les racines. Implémenté au jalon M7."
M_IceBarrier,Mage,Barrière de givre,7,0,True,False,30,Frost,Mana,450,0,False,0,0,0,0,0,15,None,0,False,100,30,100,100,100,0,False,False,False,True,False,False,0,0,0,,"Absorbe 15 % des PV max pendant 30 s."
P_FlashHeal,Priest,Soins rapides,1,1.5,True,False,0,Holy,Mana,550,0,False,0,0,0,2600,0.8,0,None,0,False,100,0,100,100,100,40,False,True,True,False,False,False,0,0,0,,"Incantation 1,5 s : soin direct principal."
P_Renew,Priest,Rénovation,2,0,True,False,0,Holy,Mana,450,0,False,0,0,0,350,0.12,0,None,0,False,100,12,100,100,100,40,False,True,True,False,False,False,3,0,0,,"Soin périodique : soigne toutes les 3 s pendant 12 s."
P_PWShield,Priest,Mot de pouvoir : Bouclier,3,0,True,False,8,Holy,Mana,600,0,False,0,0,0,0,0,20,None,0,False,100,15,100,100,100,40,False,True,True,False,False,False,0,0,0,,"Absorbe 20 % des PV max de la cible pendant 15 s."
P_Smite,Priest,Châtiment,4,1.5,True,False,0,Holy,Mana,350,0,False,1100,0,0.5,0,0,0,None,0,False,100,0,100,100,100,30,False,True,False,False,False,False,0,0,0,,"Incantation 1,5 s : dégâts sacrés — la pression offensive du prêtre."
P_Dispel,Priest,Dissipation,5,0,True,False,8,Holy,Mana,400,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,40,False,True,True,False,False,False,0,1,0,,"Sur un allié : retire 1 effet magique néfaste. Sur un ennemi : retire 1 effet bénéfique (MiscValue=1 : purge autorisée)."
P_PsychicScream,Priest,Cri psychique,6,0,True,False,30,Shadow,Mana,500,0,False,0,0,0,0,0,0,Disorient,5,True,100,0,100,100,100,8,False,True,False,False,False,True,0,0,0,,"Fait fuir les ennemis dans un rayon de 8 m pendant 5 s (DR désorientation). Casse aux dégâts."
P_PainSuppression,Priest,Suppression de la douleur,7,0,True,False,120,Holy,Mana,300,0,False,0,0,0,0,0,0,None,0,False,100,8,100,60,100,40,False,True,True,False,False,False,0,0,0,,"Réduit de 40 % les dégâts subis par la cible alliée pendant 8 s."
R_Stealth,Rogue,Camouflage,1,0,True,False,6,Physical,Energy,0,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,0,False,False,False,True,False,False,0,0,0,State.Stealth,"Devient invisible (hors combat). Détection à courte portée."
R_CheapShot,Rogue,Coup bas,2,0,True,False,0,Physical,Energy,25,1,False,300,0.2,0,0,0,0,Stun,4,False,100,0,100,100,100,3.5,True,True,False,False,True,False,0,0,0,,"Depuis le camouflage uniquement : étourdit 4 s (DR étourdissement) et génère 1 point de combo."
R_SinisterStrike,Rogue,Attaque sournoise,3,0,True,False,0,Physical,Energy,40,1,False,900,0.9,0,0,0,0,None,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,0,0,,"Générateur : dégâts et 1 point de combo."
R_Eviscerate,Rogue,Éviscération,4,0,True,False,0,Physical,Energy,35,0,True,500,0.3,0,0,0,0,None,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,450,0,,"Finisher : 500 + 450 dégâts par point de combo (MiscValue = dégâts/combo)."
R_KidneyShot,Rogue,Aiguillon perfide,5,0,True,False,20,Physical,Energy,25,0,True,200,0.1,0,0,0,0,Stun,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,1,0,,"Finisher : étourdit 1 s par point de combo (MiscValue = s/combo, même DR que Coup bas)."
R_Kick,Rogue,Coup de pied,6,0,False,False,15,Physical,Energy,0,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,3.5,True,True,False,False,False,False,0,4,0,,"Interrompt l'incantation en cours et verrouille l'école 4 s. Hors GCD."
R_Sprint,Rogue,Sprint,7,0,True,False,60,Physical,Energy,0,0,False,0,0,0,0,0,0,None,0,False,170,8,100,100,100,0,False,False,False,True,False,False,0,0,0,,"+70 % de vitesse de déplacement pendant 8 s."
ALL_Trinket,All,Trinket PvP,0,0,False,True,120,Physical,None,0,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,0,False,False,False,True,False,False,0,0,0,,"Brise tous les contrôles cassables (étourdissement, incapacité, racine, désorientation). Utilisable sous CC. Hors GCD, 2 min."
RACE_Valdris_Will,Race,Volonté,0,0,False,False,90,Physical,None,0,0,False,0,0,0,0,0,0,None,0,False,100,0,100,100,100,0,False,False,False,True,False,False,0,1,0,,"Racial Valdris : retire les effets de ralentissement et de racine (MiscValue=1)."
RACE_Kargh_Fury,Race,Fureur ancestrale,0,0,False,False,90,Physical,None,0,0,False,0,0,0,0,0,0,None,0,False,100,10,100,100,110,0,False,False,False,True,False,False,0,0,0,,"Racial Kargh : +10 % de dégâts et de soins pendant 10 s."
